Date,Open,Close,High,Low,Volume
2022/01/24,383.91,387.15,387.26,351.46,32386782
2022/01/25,379.14,366.42,387.71,365.13,15145816
2022/01/26,378.27,359.7,382.66,356.62,12683981
2022/01/27,382.06,386.7,394.8,378.1,24324747
2022/01/28,386.76,384.36,387,372.08,11966605
2022/01/31,401.97,427.14,427.7,398.2,20047452
2022/02/01,432.96,457.13,458.48,425.54,22568099
2022/02/02,448.25,429.48,451.98,426.48,14346010
2022/02/03,421.44,405.6,429.26,404.28,9905210
2022/02/04,407.31,410.17,412.77,396.64,7789798
2022/02/07,410.17,402.1,412.35,393.55,8232859
2022/02/08,398.18,403.53,406.61,395.83,6818543
2022/02/09,408.65,412.89,412.98,398.79,7738227
2022/02/10,402.1,406.27,408,396.36,8452915
2022/02/11,405.33,391.31,411.61,387.65,7558939
2022/02/14,387.59,396.57,409.36,386.89,7202155
2022/02/15,403.79,407.46,409.16,401.01,5395641
2022/02/16,401.53,398.08,401.56,390.38,5277650
2022/02/17,394.24,386.67,399.11,385.7,4669222
2022/02/18,392.53,391.29,402.87,389.05,6801668
2022/02/22,388.95,377.38,392.42,373.02,6697515
2022/02/23,382.72,367.46,386,366.66,4614290
2022/02/24,355.09,390.03,390.73,354.72,7068724
2022/02/25,386.61,390.8,391.29,375.58,4841636
2022/02/28,387.33,394.52,397.75,382.13,5035046
2022/03/01,391.6,386.24,395,383.71,3290439
2022/03/02,388.93,380.03,389.22,375.21,5356809
2022/03/03,386,368.07,386.12,364.65,6076836
2022/03/04,368,361.73,374.82,357.17,5329180
2022/03/07,360.41,350.26,362,350.2,5708383
2022/03/08,349.8,341.76,358.86,340.67,6428655
2022/03/09,357.69,358.79,364.14,350.51,6520186
2022/03/10,356.2,356.77,367.02,353.3,4807767
2022/03/11,361.19,340.32,363.36,340,4819925
2022/03/14,338.72,331.01,341.32,329.82,5907817
2022/03/15,335.1,343.75,345.36,332.36,5460640
2022/03/16,348.2,357.53,359.99,343.06,6982469
2022/03/17,359.7,371.4,373.31,354.88,5818348
2022/03/18,372,380.6,381.8,368.47,8324825
2022/03/21,378.02,374.59,381.82,368.94,4866463
2022/03/22,371.14,382.92,386.66,366.76,4242762
2022/03/23,379.77,374.49,382.46,374.49,3728954
2022/03/24,379.76,375.71,379.76,368.9,3888461
2022/03/25,377.07,373.85,377.64,366.43,3575953
2022/03/28,375.23,378.51,380.28,366.73,4323435
2022/03/29,384.39,391.82,396.5,380.33,5880723
2022/03/30,389.55,381.47,392.7,378.63,4023301
2022/03/31,383.59,374.59,384,373.61,4134720
2022/04/01,376.8,373.47,380.87,368.5,4644237
2022/04/04,373.55,391.5,396.02,373.13,7009235
2022/04/05,389.3,380.15,390,377.31,4234508
2022/04/06,374.15,368.35,376.47,362.73,4354885
